strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size
jackknife_plus_ab,linear,0.906666667,3.457691788,0.736005761,11577.87799,302.9807069,1,1000,normal,"(400, 2000)",[[0.86666667 0.91666667 0.91666667 0.93333333 0.9       ]],1
cqr,linear,0.903333333,1.808866811,0.81911331,13169.38636,0.093988419,0,1000,normal,"(400, 2000)",[[0.85       0.9        0.91666667 0.93333333 0.91666667]],1
cqr,linear,0.923333333,1.133287296,0.889984356,15964.81525,0.104996681,0.2,1000,normal,"(400, 2000)",[[0.83333333 0.86666667 0.98333333 0.96666667 0.96666667]],1
cqr,linear,0.906666667,1.741422519,0.844109982,15416.10715,0.102787971,0.5,1000,normal,"(400, 2000)",[[0.85       0.85       0.91666667 0.95       0.96666667]],1
cqr,linear,0.883333333,3.497159613,0.732992228,11505.22749,0.116000414,1,1000,normal,"(400, 2000)",[[0.81666667 0.85       0.85       0.96666667 0.93333333]],1
split,linear,0.87,0.009225701,0.999076531,20031.91006,94.2114954,0,1000,normal,"(400, 2000, 2000, 2000)",999,1
split,linear,0.886666667,0.66284228,0.935592127,18192.76425,100.0821283,0.2,1000,normal,"(400, 2000, 2000, 2000)",999,1
split,linear,0.91,1.801706265,0.833962915,15181.89572,112.1798911,0.5,1000,normal,"(400, 2000, 2000, 2000)",999,1
split,linear,0.866666667,3.205155358,0.756068546,12502.75348,77.330019,1,1000,normal,"(400, 2000, 2000, 2000)",999,1
jackknife_plus,linear,0.933333333,0.013424841,0.998656406,20024.0358,256.4868422,0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         1.         0.66666667]],1
jackknife_plus,linear,0.906666667,0.65829081,0.936034513,18239.46266,277.8202507,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.91666667 0.88333333 0.9        0.91666667]],1
jackknife_plus,linear,0.893333333,1.689137912,0.844336745,15573.59623,296.4285614,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.9        0.88333333 0.91666667 0.85      ]],1
jackknife_plus,linear,0.87,3.298443716,0.748968935,11980.04081,246.6506927,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.85       0.91666667 0.9        0.78333333 0.9       ]],1
jackknife_plus_ab,linear,0.926666667,0.004834212,0.999515868,20051.40142,2601.867998,0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         1.         0.63333333]],1
jackknife_plus_ab,linear,0.89,0.634903106,0.93830702,18281.54978,2655.260807,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.83333333 0.85       0.86666667 0.93333333 0.96666667]],1
jackknife_plus_ab,linear,0.883333333,1.629802041,0.849804668,15748.21029,2806.189913,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.9        0.95       0.9        0.83333333 0.83333333]],1
jackknife_plus_ab,linear,0.87,3.275113242,0.750744516,12006.87014,2709.335371,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.85       0.91666667 0.86666667 0.83333333 0.88333333]],1
cqr,linear,0.903333333,1.808866811,0.81911331,13169.38636,0.155999899,0,1000,normal,"(400, 2000, 2000, 2000)",[[0.85       0.9        0.91666667 0.93333333 0.91666667]],1
cqr,linear,0.906666667,1.078478703,0.895205287,16206.7796,0.207782269,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.8        0.9        0.93333333 0.9        1.        ]],1
cqr,linear,0.886666667,1.720723444,0.841425854,15453.02735,0.278898954,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.85       0.85       0.88333333 0.88333333 0.96666667]],1
cqr,linear,0.883333333,3.5251941,0.731712408,11597.23484,0.107792139,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.83333333 0.83333333 0.86666667 0.95       0.93333333]],1
split,cube,0.963333333,0.082065124,0.990440928,4063.489823,12.41452265,0,100,normal,"(200, 1000, 1000, 1000)",999,1
split,cube,0.926666667,0.765608575,0.918528497,4030.142217,9.44013834,0.2,100,normal,"(200, 1000, 1000, 1000)",999,1
