strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc
split_resid_norm,linear,0.9033333333333332,2.600620905613435,0.8208095453990152,13810.315839616856,1.639393329620361,0.5,300,laplace,"(200, 1000)",[[0.88333333 0.85       0.91666667 0.93333333 0.93333333]]
split_resid_norm,linear,0.9433333333333334,9.401841222451088,0.4529149011254983,4871.865211873072,1.185895919799805,1.0,300,laplace,"(200, 1000)",[[0.81666667 0.93333333 0.96666667 1.         1.        ]]
split_resid_norm,linear,0.88,6.7984302391797575,0.6953213772540493,6646.218793151222,1.528190851211548,1.5,300,laplace,"(200, 1000)",[[0.8        0.83333333 0.93333333 0.9        0.93333333]]
split_resid_norm,linear,0.8066666666666666,7.655110266520834,0.7224676566833323,7703.429357232518,1.1617231369018557,2.0,300,laplace,"(200, 1000)",[[0.75       0.75       0.76666667 0.85       0.91666667]]
jackknife_plus,linear,0.9233333333333332,2.400232826990729,0.8346164293587299,13860.291388140808,4.995143175125122,0.5,300,laplace,"(200, 1000)",[[0.95       0.88333333 0.93333333 0.93333333 0.91666667]]
jackknife_plus,linear,0.9,4.922739794500379,0.713550427323456,9320.65884776649,4.382028102874756,1.0,300,laplace,"(200, 1000)",[[0.88333333 0.95       0.93333333 0.9        0.83333333]]
jackknife_plus,linear,0.9033333333333332,6.998323794000271,0.686363221290329,6817.680802474343,3.4113943576812744,1.5,300,laplace,"(200, 1000)",[[0.88333333 0.88333333 0.95       0.9        0.9       ]]
jackknife_plus,linear,0.9,9.262821047024532,0.664188490352001,5745.305960817837,3.740395784378052,2.0,300,laplace,"(200, 1000)",[[0.9        0.9        0.88333333 0.88333333 0.93333333]]
jackknife_plus_ab,linear,0.9233333333333332,2.399559196052202,0.8346628444905875,13803.020384729483,42.2350857257843,0.5,300,laplace,"(200, 1000)",[[0.9        0.93333333 0.93333333 0.91666667 0.93333333]]
jackknife_plus_ab,linear,0.8766666666666667,4.622647607626946,0.7310121098525156,9985.34067094472,32.003910064697266,1.0,300,laplace,"(200, 1000)",[[0.9        0.9        0.88333333 0.86666667 0.83333333]]
jackknife_plus_ab,linear,0.9066666666666666,6.785012661758606,0.6959229463952578,6807.310962703888,40.23666501045227,1.5,300,laplace,"(200, 1000)",[[0.86666667 0.88333333 0.91666667 0.93333333 0.93333333]]
jackknife_plus_ab,linear,0.8733333333333333,8.744896254708854,0.682964693291733,6753.463052739233,32.47933506965637,2.0,300,laplace,"(200, 1000)",[[0.8        0.81666667 0.88333333 0.9        0.96666667]]
cqr,linear,0.8933333333333333,2.4899892026941486,0.8284323681075222,13880.510411231851,0.0568079948425293,0.5,300,laplace,"(200, 1000)",[[0.81666667 0.88333333 0.88333333 0.93333333 0.95      ]]
cqr,linear,0.8766666666666667,5.150492301527579,0.7002973430765271,9536.293384910396,0.0620017051696777,1.0,300,laplace,"(200, 1000)",[[0.8        0.85       0.91666667 0.88333333 0.93333333]]
cqr,linear,0.9033333333333332,7.166939749408445,0.6788065313204964,6598.046379503529,0.0599734783172607,1.5,300,laplace,"(200, 1000)",[[0.91666667 0.85       0.9        0.91666667 0.93333333]]
cqr,linear,0.91,11.606282011512038,0.5792293081740977,4569.126254485833,0.0620138645172119,2.0,300,laplace,"(200, 1000)",[[0.88333333 0.86666667 0.91666667 0.93333333 0.95      ]]
split,cube,0.8866666666666667,2.149996236819685,0.7677547695298739,2202.1974951760603,3.6054937839508057,0.5,300,laplace,"(200, 1000)",999
split,cube,0.8433333333333334,3.633772760956778,0.6748943184431749,2437.674795369031,3.1009206771850586,1.0,300,laplace,"(200, 1000)",999
split,cube,0.8866666666666667,7.48659266961314,0.5094428024302622,860.9453239577648,0.6496624946594238,1.5,300,laplace,"(200, 1000)",999
split,cube,0.98,15.232116555662772,0.361783126836552,265.19733312269227,3.2400765419006348,2.0,300,laplace,"(200, 1000)",999
split_resid_norm,cube,0.9133333333333332,3.332590888293301,0.6400095426119571,1008.5754327322755,2.0282187461853027,0.5,300,laplace,"(200, 1000)",[[0.75       0.88333333 0.96666667 0.96666667 1.        ]]
